username,url
wettanaam,https://twitter.com/wettanaam/status/1160992279303249927
_MomoRassoul,https://twitter.com/_MomoRassoul/status/1160988862954557445
UFBaby,https://twitter.com/UFBaby/status/1160975643565285379
__Mxmar,https://twitter.com/__Mxmar/status/1160946937530634241
madaweuzjoop,https://twitter.com/madaweuzjoop/status/1160939125580718081
Maibdiouf,https://twitter.com/Maibdiouf/status/1160929282459361280
hijabifatima,https://twitter.com/hijabifatima/status/1160918581330231297
abdouul_97,https://twitter.com/abdouul_97/status/1160917230122602497
Mastermiiiiiind,https://twitter.com/Mastermiiiiiind/status/1160898025541308416
SalifMouhamed,https://twitter.com/SalifMouhamed/status/1160895263436943360
dediouf,https://twitter.com/dediouf/status/1160982645163089924
zethiam,https://twitter.com/zethiam/status/1160962339878952961
Ibrahim04567703,https://twitter.com/Ibrahim04567703/status/1160943034323935233
Taff_le_hova,https://twitter.com/Taff_le_hova/status/1160935160948436992
PapaLeyti,https://twitter.com/PapaLeyti/status/1160932852479008771
Seydinamhd,https://twitter.com/Seydinamhd/status/1160930598036357120
grosbb27,https://twitter.com/grosbb27/status/1160916826597015552
McLywa,https://twitter.com/McLywa/status/1160916194800689152
latrodimendes,https://twitter.com/latrodimendes/status/1160909329568075776
slewlaajaack,https://twitter.com/slewlaajaack/status/1160906889007419392
Sylla51486917,https://twitter.com/Sylla51486917/status/1160895683504803841
oussoudiop90,https://twitter.com/oussoudiop90/status/1160890265575534594
Ouz_bii,https://twitter.com/Ouz_bii/status/1160853851987222529
_BaeSarah,https://twitter.com/_BaeSarah/status/1160708541906333708
AssaneSiby2,https://twitter.com/AssaneSiby2/status/1160934502056845313
kilifa_og,https://twitter.com/kilifa_og/status/1160929556095787008
beyonceisBee,https://twitter.com/beyonceisBee/status/1160926749821231104
Bocar_Tkls,https://twitter.com/Bocar_Tkls/status/1160922371680886784
Layobkzg,https://twitter.com/Layobkzg/status/1160903904940498944
Dioppalaye1,https://twitter.com/Dioppalaye1/status/1160901181230735360
BaElimaneba3,https://twitter.com/BaElimaneba3/status/1160892745684324352
souleymanelatyr,https://twitter.com/souleymanelatyr/status/1160891638127968256
PouloBodedio,https://twitter.com/PouloBodedio/status/1160889967629033472
mansourBaro92,https://twitter.com/mansourBaro92/status/1160877992379396096
DieyeFloyd,https://twitter.com/DieyeFloyd/status/1160850199260147712
_SeckElhadji,https://twitter.com/_SeckElhadji/status/1160913855364644864
Princess_Aji,https://twitter.com/Princess_Aji/status/1160909601841303553
TitanMansour,https://twitter.com/TitanMansour/status/1160903867489509376
ThiessiFall,https://twitter.com/ThiessiFall/status/1160895799640887296
elagethiaw,https://twitter.com/elagethiaw/status/1160880135131848704
XulioJuleSouley,https://twitter.com/XulioJuleSouley/status/1160865987987693568
hawaaxo,https://twitter.com/hawaaxo/status/1160769413299286016
Momo__Wade,https://twitter.com/Momo__Wade/status/1160887482927505411
laminegueye221,https://twitter.com/laminegueye221/status/1160885153448767488
___eog___,https://twitter.com/___eog___/status/1160884563423481856
Papitoo__,https://twitter.com/Papitoo__/status/1160881140783353856
ItsIbaa,https://twitter.com/ItsIbaa/status/1160880612590456832
